gene_id	concentration in Mix 1 (attomoles/ul)	concentration in Mix 2 (attomoles/ul)	sham11_ssal	sham12_ssal	sham21_ssal	sham22_ssal	sham31_ssal	sham32_ssal	sbs11_ssal	sbs12_ssal	sbs21_ssal	sbs22_ssal	sbs31_ssal	sbs32_ssal	transcript_id(s)	sham11_srsem	sham12_srsem	sham21_srsem	sham22_srsem	sham31_srsem	sham32_srsem	sbs11_srsem	sbs12_srsem	sbs21_srsem	sbs22_srsem	sbs31_srsem	sbs32_srsem	sham11_sfc	sham12_sfc	sham21_sfc	sham22_sfc	sham31_sfc	sham32_sfc	sbs11_sfc	sbs12_sfc	sbs21_sfc	sbs22_sfc	sbs31_sfc	sbs32_sfc	sham11_hfc	sham12_hfc	sham21_hfc	sham22_hfc	sham31_hfc	sham32_hfc	sbs11_hfc	sbs12_hfc	sbs21_hfc	sbs22_hfc	sbs31_hfc	sbs32_hfc	sham11_psal	sham12_psal	sham21_psal	sham22_psal	sham31_psal	sham32_psal	sbs11_psal	sbs12_psal	sbs21_psal	sbs22_psal	sbs31_psal	sbs32_psal
ERCC-00058	1.83105469	2.74658203	0.127904	0.126142	0.0	0.123406	0.057497	0.117381	0.330409	0.330411	0.453901	0.449795	0.361527	0.373	DQ459418	0.17	0.15	0.0	0.15	0.08	0.14	0.44	0.44	0.58	0.55	0.48	0.46	0.142479	0.139854	0.0	0.137536	0.065522	0.135012	0.362485	0.362485	0.496071	0.505785	0.408762	0.423332	0.176948	0.16376	0.0	0.161916	0.080089	0.157791	0.44357	0.443607	0.602234	0.592649	0.503562	0.493163	0.137544	0.131339	0.0	0.128855	0.061623	0.121753	0.352878	0.352878	0.481781	0.464838	0.387755	0.384463
ERCC-00120	0.91552734	1.37329102	0.0	0.078155	0.0	0.095575	0.178122	0.145454	0.767681	0.767686	0.234357	0.092895	0.223995	0.266658	DQ854992	0.0	0.07	0.0	0.09	0.17	0.13	0.76	0.76	0.22	0.08	0.22	0.24	0.0	0.058963	0.0	0.072142	0.14072	0.11461	0.585211	0.585211	0.178805	0.071022	0.168646	0.206837	0.0	0.069041	0.0	0.084931	0.172005	0.133947	0.716118	0.716178	0.21707	0.083219	0.207758	0.240956	0.0	0.086423	0.0	0.105986	0.202744	0.16023	0.870748	0.870748	0.264183	0.101957	0.255149	0.291903
ERCC-00040	0.91552734	1.37329102	0.0	0.18099	0.141709	0.055333	0.0	0.08421	0.296298	0.2963	0.0	0.322687	0.778088	0.308761	DQ883661	0.0	0.19	0.17	0.06	0.0	0.09	0.35	0.35	0.0	0.35	0.77	0.34	0.0	0.171062	0.132379	0.050569	0.0	0.079834	0.273022	0.273022	0.0	0.302224	0.732314	0.294049	0.0	0.200302	0.166229	0.059533	0.0	0.093304	0.334094	0.334123	0.0	0.349332	0.754526	0.342554	0.0	0.192705	0.158355	0.059081	0.0	0.08932	0.323597	0.323597	0.0	0.341013	0.71116	0.325441
ERCC-00164	0.45776367	0.68664551	0.0	0.0	0.0	0.0	0.0	0.026943	0.0948	0.094801	0.086821	0.034414	0.0	0.098788	DQ516779	0.0	0.0	0.0	0.0	0.0	0.03	0.12	0.12	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.029457	0.100054	0.100054	0.092526	0.031785	0.0	0.107514	0.0	0.0	0.0	0.0	0.0	0.034427	0.122435	0.122445	0.112327	0.037244	0.0	0.125249	0.0	0.0	0.0	0.0	0.0	0.028024	0.101529	0.101529	0.092411	0.035664	0.0	0.102108
ERCC-00024	0.22888184	0.34332275	0.198118	0.0	0.244769	0.0	0.178122	0.0	0.0	0.0	0.0	0.185789	0.0	0.088886	DQ854993	0.0	0.0	0.24	0.0	0.17	0.0	0.0	0.0	0.0	0.17	0.0	0.08	0.142934	0.0	0.188716	0.0	0.14072	0.0	0.0	0.0	0.0	0.143938	0.0	0.068945	0.175176	0.0	0.236972	0.0	0.172005	0.0	0.0	0.0	0.0	0.168659	0.0	0.080318	0.227132	0.0	0.28516	0.0	0.203521	0.0	0.0	0.0	0.0	0.204695	0.0	0.097674
ERCC-00016	0.22888184	0.34332275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112838	0.0	0.107849	0.0	DQ883664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11204	0.0	0.111503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.136018	0.0	0.137363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.121431	0.0	0.117279	0.0
ERCC-00012	0.11444092	0.17166138	0.076158	0.0	0.0	0.0	0.0	0.027957	0.098368	0.098368	0.0	0.0	0.0	0.068337	DQ883670	0.1	0.0	0.0	0.0	0.0	0.03	0.13	0.13	0.0	0.0	0.0	0.04	0.081417	0.0	0.0	0.0	0.0	0.030287	0.102873	0.102873	0.0	0.0	0.0	0.074356	0.099783	0.0	0.0	0.0	0.0	0.035397	0.125884	0.125895	0.0	0.0	0.0	0.086621	0.082335	0.0	0.0	0.0	0.0	0.029153	0.105618	0.105618	0.0	0.0	0.0	0.035407
ERCC-00098	0.05722046	0.08583069	0.0	0.0	0.0	0.0	0.057047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DQ459415	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061197	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00057	0.01430512	0.02145767	0.0	0.028991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DQ668366	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00002	15000.0	30000.0	1112.203944	1077.15417	961.498596	920.137683	1062.76298	1017.762408	4212.546966	4212.578126	3919.329268	3822.103627	5889.018803	5656.017781	DQ459430	1312.83	1253.87	1134.83	1064.89	1273.79	1198.26	5061.07	5061.07	4635.91	4452.67	7056.24	6690.57	1204.001099	1172.699219	1039.567749	1002.015808	1178.625244	1134.507935	4502.31543	4502.31543	4254.388672	4161.422363	6476.667969	6246.416016	1407.967285	1354.673828	1226.420166	1162.474243	1376.925903	1308.22876	5250.749512	5251.195312	4987.824707	4816.05127	7539.115234	7175.90625	1152.483738	1115.165277	1000.175978	953.682296	1098.084409	1050.122534	4331.103773	4331.103798	4046.882758	3929.755218	6039.77096	5793.618047
ERCC-00046	3750.0	7500.0	627.028224	617.646243	638.787153	595.831647	643.527082	603.963904	2842.936486	2842.957515	2752.256863	2685.405617	3938.20061	3745.164622	DQ516748	553.88	535.92	547.99	515.11	566.78	528.84	2520.79	2520.79	2423.81	2332.17	3500.86	3295.79	464.130157	459.161285	471.402679	443.222473	486.879822	459.555023	2074.687012	2074.687012	2040.553345	1996.962524	2957.005859	2824.200195	544.889526	532.903137	545.953918	515.735107	568.66272	531.442566	2415.431152	2415.63623	2394.682861	2321.72583	3451.817383	3255.467529	695.838778	681.84055	699.852584	658.600126	705.111405	662.629568	3102.525723	3102.525741	3027.354793	2940.659966	4299.362489	4085.64279
ERCC-00003	937.5	1875.0	93.971906	95.712892	112.11519	101.664512	95.954305	93.371158	469.315486	469.318957	443.689861	431.066201	566.701157	547.496536	DQ516784	110.14	111.22	132.96	118.24	114.24	110.38	564.04	564.04	525.81	503.05	675.75	647.48	100.443008	102.872337	119.765747	109.39241	105.107979	102.769234	495.987732	495.987732	475.753448	463.57724	615.265686	597.127014	116.756119	119.647812	141.41658	127.586388	121.826035	119.087006	578.895447	578.944641	558.947205	538.7323	716.106262	688.346008	98.063547	99.761352	115.962815	105.919738	99.075024	96.655724	485.512209	485.512212	460.206652	444.985949	583.433993	563.021332
ERCC-00043	468.75	937.5	63.918488	62.488085	68.373965	62.094916	65.507266	59.924371	283.17987	283.181965	271.399113	268.015806	383.298165	372.013504	DQ516787	74.89	72.86	79.92	71.7	78.68	70.92	339.24	339.24	322.33	312.73	454.88	439.84	68.434486	67.317436	73.151367	66.852364	71.893562	66.107124	299.548828	299.548828	291.533844	288.809174	417.197235	406.573181	80.055725	78.121895	86.140236	77.834854	83.914291	76.623589	350.589569	350.619354	342.147186	335.975983	484.006012	469.151611	66.879497	64.965801	71.64455	64.693715	68.083052	62.073769	293.926777	293.926778	282.59276	277.00616	393.329296	383.039661
