gene_id	concentration in Mix 1 (attomoles/ul)	concentration in Mix 2 (attomoles/ul)	flight1_ssal	flight2_ssal	flight3_ssal	ground1_ssal	ground2_ssal	ground3_ssal	transcript_id(s)	flight1_srsem	flight2_srsem	flight3_srsem	ground1_srsem	ground2_srsem	ground3_srsem	flight1_sfc	flight2_sfc	flight3_sfc	ground1_sfc	ground2_sfc	ground3_sfc	flight1_hfc	flight2_hfc	flight3_hfc	ground1_hfc	ground2_hfc	ground3_hfc	flight1_psal	flight2_psal	flight3_psal	ground1_psal	ground2_psal	ground3_psal
ERCC-00077	3.66210938	7.32421875	1.478108	2.295746	3.129799	1.510457	4.249974	5.793163	DQ516742	2.29	3.86	0.0	0.0	6.15	8.13	0.541058	0.563979	0.697531	0.589614	1.415365	1.584312	0.596727	0.617525	0.760859	0.643218	1.56333	1.73955	1.944178	2.580184	3.543424	1.718992	5.279766	6.690862
ERCC-00069	1.83105469	3.66210938	0.0	0.759223	0.730146	1.312786	0.541588	0.738207	DQ459421	0.0	0.76	0.73	1.29	0.5	0.67	0.0	0.819717	0.852727	1.212109	0.609279	0.73439	0.0	0.871479	0.930146	1.322307	0.672975	0.779674	0.0	0.74344	0.715698	1.291509	0.529966	0.726427
ERCC-00137	0.91552734	1.83105469	0.0	0.0	1.506594	0.128465	0.0	0.273719	DQ855000	0.0	0.0	1.5	0.13	0.0	0.26	0.0	0.0	0.799421	0.057047	0.0	0.162358	0.0	0.0	0.872	0.062233	0.0	0.178267	0.0	0.0	1.564821	0.133152	0.0	0.283667
ERCC-00013	0.91552734	1.83105469	1.083065	0.0	0.54775	0.0	1.151834	1.284228	EF011062	0.87	0.0	0.55	0.0	1.07	0.94	1.032624	0.0	0.562456	0.0	0.977731	1.051443	1.138869	0.0	0.613521	0.0	1.079944	1.154468	1.080135	0.0	0.545954	0.0	1.146766	1.284507
ERCC-00168	0.45776367	0.91552734	0.0	0.0	0.0	0.117749	0.0	0.0	DQ516776	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.130285	0.0	0.0	0.0	0.0	0.0	0.14213	0.0	0.0	0.0	0.0	0.0	0.116439	0.0	0.0
ERCC-00041	0.22888184	0.45776367	0.0	0.0	0.0	0.0	0.0	0.0	EF011069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERCC-00081	0.22888184	0.45776367	0.390883	0.0	0.0	0.0	0.0	0.0	DQ854991	0.31	0.0	0.0	0.0	0.0	0.0	0.252728	0.0	0.0	0.0	0.0	0.0	0.278731	0.0	0.0	0.0	0.0	0.0	0.406845	0.0	0.0	0.0	0.0	0.0
ERCC-00086	0.11444092	0.22888184	1.088336	0.0	0.0	0.094696	0.034693	0.180552	DQ516791	1.03	0.0	0.0	0.0	0.03	0.17	0.99754	0.0	0.0	0.105206	0.033243	0.208079	1.100175	0.0	0.0	0.11477	0.036719	0.228468	1.069811	0.0	0.0	0.093277	0.034007	0.177943
ERCC-00061	0.05722046	0.11444092	0.0	0.184266	0.0	0.0	0.301224	0.358325	DQ459426	0.0	0.18	0.0	0.0	0.28	0.34	0.0	0.212477	0.0	0.0	0.349392	0.273572	0.0	0.23265	0.0	0.0	0.385918	0.300378	0.0	0.180441	0.0	0.0	0.29477	0.352618
ERCC-00048	0.01430512	0.02861023	0.0	0.0	0.0	0.0	0.0	0.0	DQ883671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
