	Gene ID	Gene Name	flight1	flight2	flight3	ground1	ground2	ground3
32908	AT5G66520	PCMP-H61	0.0	0.0	0.232969	0.353654	0.196488	0.067233
32909	AT5G66530	AT5G66530	21.0909	11.294236	14.856711	28.07729	25.016058	28.498388
32910	AT5G66535	AT5G66535	0.0	0.0	0.0	0.0	0.0	0.0
32911	AT5G66540	AT5G66540	13.970571	13.767236	15.061558	32.144413	22.939751	21.533876
32912	AT5G66550	AT5G66550	11.465312	12.640007	11.469115	15.059271	12.77218	20.025887
32913	AT5G66558	AT5G66558	11.291407	7.988177	0.0	11.041746	9.125384	10.524821
32914	AT5G66560	AT5G66560	1.353359	2.268858	12.959725	3.910986	4.070945	3.847046
32915	AT5G66562	AT5G66562	0.029518	1.221955	0.0	3.960481	2.687991	1.390688
32916	AT5G66564	AT5G66564	0.165512	0.178997	1.511845	2.801671	0.589856	1.011627
32917	AT5G66567	AT5G66567	0.088554	0.0	1.302051	0.566772	0.0	0.0
32918	AT5G66568	AT5G66568	0.0	0.0	0.0	0.0	0.0	0.0
32919	AT5G66570	PSBO1	113.518211	151.279221	118.814514	62.610561	73.19088	91.704903
32920	AT5G66580	AT5G66580	2.356254	3.750381	2.318392	8.31325	6.591465	3.689233
32921	AT5G66590	AT5G66590	9.20494	9.774432	11.555675	17.005913	11.854545	12.943019
32922	AT5G66600	AT5G66600	5.475832	2.723097	7.564009	4.836561	4.963653	5.914917
32923	AT5G66607	AT5G66607	0.147419	4.311186	1.858361	4.531662	4.246135	4.329719
32924	AT5G66610	DAR7	0.365042	0.284409	0.582948	0.995308	1.229593	1.20052
32925	AT5G66620	DAR6	4.121315	5.753785	2.951163	2.642483	3.016878	4.304059
32926	AT5G66630	DAR5	11.753563	15.372818	11.674802	10.714184	13.489013	12.681161
32927	AT5G66631	AT5G66631	0.740584	0.746893	0.401553	2.20363	1.817607	1.531899
32928	AT5G66640	DAR3	1.764456	0.694173	1.088368	0.869631	1.806498	1.385766
32929	AT5G66650	AT5G66650	16.127596	21.045702	30.751017	3.660529	8.309838	6.458177
32930	AT5G66658	AT5G66658	4.114308	1.915061	3.312815	6.484567	4.137201	3.544779
32931	AT5G66660	AT5G66660	0.421991	0.195955	0.252246	0.065018	0.618261	0.40595
32932	AT5G66670	AT5G66670	1.806232	1.212676	1.197813	2.067327	4.470003	2.722391
32933	AT5G66675	AT5G66675	14.552654	23.205431	20.365086	20.739296	18.99029	18.138439
32934	AT5G66680	OST48	88.22348	90.685425	87.864685	117.208908	91.537025	93.401405
32935	AT5G66690	UGT72E2	68.285942	94.622696	67.06855	155.414948	153.250992	167.014648
32936	AT5G66700	ATHB-53	5.314896	15.920588	6.81905	4.758649	5.070985	3.062418
32937	AT5G66710	AT5G66710	1.430911	0.396252	0.713608	1.885806	0.843019	1.578536
32938	AT5G66720	AT5G66720	57.398472	57.136692	56.915703	42.47126	42.119556	44.397774
32939	AT5G66730	IDD1	29.866371	31.620165	33.877716	24.776421	26.256596	25.688585
32940	AT5G66740	AT5G66740	0.0	0.0	0.0	0.29794	0.0	1.02497
32941	AT5G66750	DDM1	13.442649	8.704005	10.287061	16.521765	12.929428	12.509168
32942	AT5G66755	AT5G66755	0.0	0.0	0.0	0.0	0.0	0.0
32943	AT5G66760	SDH1-1	137.538132	167.986801	128.444275	195.901016	165.498093	185.98642
32944	AT5G66770	SCL4	15.243616	14.225146	11.995914	11.350927	11.760464	10.584523
32945	AT5G66780	AT5G66780	1.132	2.387003	4.310164	0.860368	0.860143	2.904262
32946	AT5G66790	WAKL21	9.177381	5.228723	10.989724	4.940468	9.153416	9.324442
32947	AT5G66800	AT5G66800	1.493311	0.89865	0.736685	2.235272	1.763848	2.18934
32948	AT5G66810	AT5G66810	14.836743	15.252033	13.934319	12.475635	12.269424	13.378304
32949	AT5G66815	AT5G66815	0.0	0.340931	0.0	8.959779	1.525443	7.01573
32950	AT5G66816	AT5G66816	0.0	0.0	0.0	1.676288	0.0	1.280185
32951	AT5G66817	AT5G66817	0.0	0.0	0.0	0.0	0.0	0.0
32952	AT5G66820	AT5G66820	19.691811	19.319923	19.361189	20.921198	18.958639	22.651814
32953	AT5G66830	AT5G66830	1.469555	1.638659	1.232378	1.55744	1.071617	0.29786
32954	AT5G66840	AT5G66840	3.584102	3.005948	4.359581	7.636213	6.468047	5.68246
32955	AT5G66850	MAPKKK5	12.607377	12.403538	11.576374	13.281764	12.086055	11.162665
32956	AT5G66860	AT5G66860	43.705936	39.255634	42.781284	68.47567	42.246334	44.606457
32957	AT5G66870	LBD36	12.606923	13.494112	17.327824	15.953403	19.28076	15.73932
32958	AT5G66880	SRK2I	33.344677	39.638954	35.987724	23.459625	31.579407	26.239046
32959	AT5G66890	AT5G66890	0.0	0.0	0.0	0.0	0.0	0.0
32960	AT5G66900	AT5G66900	4.293812	4.392614	3.249345	3.291885	5.458695	4.840604
32961	AT5G66910	AT5G66910	10.434533	14.175205	13.282613	12.852986	12.811749	11.398864
32962	AT5G66920	sks17	55.569641	72.695229	68.352272	99.152527	81.004967	86.043121
32963	AT5G66930	AT5G66930	31.550489	45.437485	39.544479	28.092459	29.318426	27.77597
32964	AT5G66940	DOF5.8	0.054465	0.598327	0.0	0.0	0.0	0.0
32965	AT5G66950	AT5G66950	24.367418	24.766813	26.201235	35.302448	33.933735	34.087379
32966	AT5G66960	AT5G66960	2.249765	2.180515	1.437645	4.600858	3.039334	4.014094
32967	AT5G66970	AT5G66970	0.0	0.0	0.0	0.174465	2.212117	1.627099
32968	AT5G66980	AT5G66980	0.0	0.0	0.186951	0.0	0.360059	0.882519
32969	AT5G66985	AT5G66985	11.637526	23.264126	17.411514	41.435452	38.513031	44.369511
32970	AT5G66990	RKD3	0.0	0.0	0.0	0.0	0.0	0.0
32971	AT5G67000	ERF122	0.0	0.0	0.0	0.0	0.0	0.0
32972	AT5G67010	ERF121	0.0	0.0	0.0	0.0	0.0	0.0
32973	AT5G67020	AT5G67020	0.936104	2.086609	0.999721	0.806349	1.640318	2.76687
32974	AT5G67030	ZEP	31.615028	30.3118	29.071699	18.472609	21.474459	23.447575
32975	AT5G67040	AT5G67040	0.0	0.0	0.0	0.0	0.0	0.0
32976	AT5G67050	AT5G67050	0.494485	0.0	0.386512	0.138774	0.0	0.0
32977	AT5G67060	HEC1	0.862091	0.568264	1.103673	0.141538	0.0	0.030088
32978	AT5G67070	RALFL34	25.968529	18.408144	22.77388	67.981392	40.5443	47.769016
