gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
AT2G17305	AT2G17305	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17310	SON1	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17320	AT2G17320	20.64327	18.397369	21.059258	17.1166	15.163466	17.380787
AT2G17330	CYP51G2	0.707772	0.247976	0.144282	0.096693	0.555265	0.078777
AT2G17340	AT2G17340	29.760473	34.814007	31.364359	44.478405	42.876263	36.482681
AT2G17350	AT2G17350	36.204865	33.370937	35.089695	27.967524	30.29418	26.088943
AT2G17360	RPS4A	384.083893	353.200836	391.387299	438.548004	310.263	317.826691
AT2G17370	HMG2	14.304852	15.893767	13.247895	15.767358	12.082847	12.516655
AT2G17380	AAP19-1	84.389519	74.760574	99.580223	89.566643	85.248009	108.027756
AT2G17390	AKR2B	151.030701	166.986542	155.368683	160.930801	138.718002	138.364838
AT2G17410	ARID3	21.438919	20.291731	22.439531	22.430122	21.208576	18.57753
AT2G17420	NTRA	415.34314	432.873199	400.957153	351.812012	321.653931	343.821289
AT2G17430	MLO7	4.121708	5.602688	1.580312	2.190577	2.257291	1.601519
AT2G17440	PIRL5	93.874977	89.958778	99.8927	31.91366	51.221725	46.105896
AT2G17442	AT2G17442	2.505062	2.671596	2.518263	6.839818	5.780717	4.448513
AT2G17450	ATL44	33.471336	41.482883	39.752548	16.096691	26.754322	21.001131
AT2G17460	AT2G17460	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17470	ALMT6	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17480	MLO8	12.184493	11.627325	12.043082	13.717218	13.413853	13.042062
AT2G17500	AT2G17500	87.634544	229.570038	93.953545	101.856506	99.902603	116.177254
AT2G17510	EMB2763	24.277945	18.785156	21.497135	15.758673	18.57725	16.89456
AT2G17520	IRE1A	42.125534	37.099384	38.983135	27.711494	34.700993	32.592831
AT2G17525	AT2G17525	4.733586	3.567289	3.62753	3.09275	4.067955	3.769899
AT2G17530	AT2G17530	20.191883	17.706676	18.805305	21.963446	23.700949	20.047695
AT2G17540	AT2G17540	9.097786	9.669048	9.680252	6.242123	7.931821	12.033226
AT2G17550	AT2G17550	12.72782	12.380794	11.015739	10.44891	9.858139	9.859085
AT2G17560	HMGB4	168.520325	140.549515	165.175201	224.918808	173.554276	198.066406
AT2G17570	AT2G17570	13.203458	14.287308	17.861155	9.902905	11.070145	9.434755
AT2G17580	AT2G17580	11.181049	11.057107	8.579984	14.872179	9.480742	12.961309
AT2G17590	AT2G17590	0.245997	0.0	0.147761	0.0	0.235196	0.107975
AT2G17600	AT2G17600	1.766331	2.219666	3.253152	1.948757	1.510047	1.847107
AT2G17620	CYCB2-1	2.999948	2.243994	2.781118	4.038857	3.20888	2.376719
AT2G17630	PSAT2	24.298637	20.285477	21.110395	44.459663	28.330969	32.673485
AT2G17640	SAT2	45.935177	53.793648	43.225636	23.98443	33.574726	29.976419
AT2G17650	AAE2	2.049517	4.169684	2.272127	2.164997	2.036976	2.752969
AT2G17660	AT2G17660	0.0	0.230206	0.193692	0.034869	1.388343	0.0
AT2G17670	AT2G17670	4.024128	4.080021	4.021789	7.020366	4.999122	4.915627
AT2G17680	AT2G17680	0.315223	0.133852	0.366787	0.0	0.0	0.000885
AT2G17690	SDC	0.0	0.0	0.0	0.081831	0.0	0.0
AT2G17695	AT2G17695	16.105328	22.751669	20.072638	10.925409	15.091465	12.839097
AT2G17700	AT2G17700	13.221785	11.153323	11.105309	9.612226	8.448576	8.609739
AT2G17705	AT2G17705	17.255348	19.584694	18.962015	11.713642	16.684097	13.475338
AT2G17710	AT2G17710	138.234756	140.800125	184.331009	59.334385	96.64695	90.757004
AT2G17720	P4H5	111.753769	97.406929	109.878754	103.963165	91.881851	110.608467
AT2G17723	AT2G17723	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17730	NIP2	7.659413	5.059723	5.281212	5.882193	5.330209	6.392707
AT2G17740	AT2G17740	0.55809	0.0	0.367738	0.116068	0.0	0.145223
AT2G17750	NIP1	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17760	AT2G17760	26.166887	32.739441	32.223305	33.878155	32.186413	34.685009
AT2G17770	BZIP27	5.031519	6.634048	3.184749	7.473468	3.843306	6.034504
AT2G17780	MCA2	0.244949	0.0	0.0	0.0	0.0	0.15372
AT2G17787	AT2G17787	12.678632	12.37972	14.06019	8.444235	8.624194	5.305126
AT2G17790	VPS35A	28.53059	33.145363	23.538239	38.003979	29.042582	29.999321
AT2G17800	ARAC1	25.417822	22.177397	24.161455	34.68536	27.356447	29.330898
AT2G17820	AHK1	30.010944	26.575825	23.410069	19.06296	18.148994	17.131523
AT2G17830	AT2G17830	2.027035	3.406665	1.180879	2.538874	3.181798	3.492352
AT2G17840	ERD7	56.126728	49.275791	55.130264	53.169422	69.499268	65.347527
AT2G17850	STR17	0.552023	0.0	0.715938	0.937339	0.437221	0.0
AT2G17870	CSP3	34.878387	30.229395	34.376453	39.540146	36.145969	32.855518
AT2G17880	AT2G17880	9.295355	9.87029	11.056396	1.798265	2.228678	2.020759
AT2G17890	CPK16	2.003626	1.115207	1.812038	0.761426	0.887917	0.686211
AT2G17900	ASHR1	9.021858	6.067701	6.873065	8.638594	9.653941	6.70158
AT2G17910	AT2G17910	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17920	AT2G17920	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17930	AT2G17930	17.198608	16.183825	14.280355	12.712504	15.787669	12.420671
AT2G17940	AT2G17940	4.241601	3.797644	5.209055	5.63637	6.661564	5.593142
AT2G17970	AT2G17970	6.689206	5.854533	4.987893	7.903444	7.702604	7.804225
AT2G17972	AT2G17972	1.227848	4.123161	1.976964	4.404775	3.983697	2.356074
AT2G17975	AT2G17975	12.410223	10.831431	13.949174	13.071072	14.541697	14.660937
AT2G17980	SLY1	45.586563	42.500988	41.608402	44.205799	38.570187	42.56992
AT2G17990	AT2G17990	76.209747	68.300751	72.991867	67.922623	70.453606	57.760498
AT2G18000	TAF14	3.856513	3.878893	5.4352	7.297546	6.497577	5.476021
AT2G18010	AT2G18010	2.867741	0.0	0.184693	0.0	0.0	0.0
AT2G18020	RPL8A	695.851807	616.159241	720.675781	996.723511	680.61084	729.34082
AT2G18030	MSRA5	12.197692	20.384398	22.868618	21.76368	19.978706	22.104149
AT2G18040	PIN1	126.777969	122.684494	129.396423	175.173447	146.858765	174.188019
AT2G18042	AT2G18042	0.0	0.0	0.715919	0.0	0.0	0.071732
AT2G18050	HIS1-3	92.417778	189.421951	65.714493	10.430518	22.309391	27.398083
AT2G18060	NAC037	0.98733	1.853446	3.366741	1.779984	3.645289	2.286503
AT2G18070	AT2G18070	0.0	0.0	0.0	0.0	0.0	0.0
