gene_id	transcript_id(s)	flight1	flight2	flight3	ground1	ground2	ground3
AT4G25790	AT4G25790.1	10.13	6.19	6.49	13.76	13.78	11.42
AT4G25800	AT4G25800.1,AT4G25800.2	2.74	2.81	1.44	1.11	1.85	2.03
AT4G25810	AT4G25810.1	3.32	3.71	1.68	5.87	5.22	3.49
AT4G25820	AT4G25820.1	46.12	39.82	62.63	61.28	60.58	67.41
AT4G25830	AT4G25830.1	5.04	6.81	7.48	2.75	3.22	4.19
AT4G25835	AT4G25835.1	11.16	13.80	14.78	9.97	7.61	7.22
AT4G25840	AT4G25840.1	24.54	21.67	19.70	23.51	23.28	17.27
AT4G25845	AT4G25845.1	0.00	0.00	0.00	0.00	0.51	0.89
AT4G25850	AT4G25850.1,AT4G25850.2	1.45	0.71	1.89	3.43	2.31	1.90
AT4G25860	AT4G25860.1	0.34	0.80	0.36	1.05	1.84	0.71
AT4G25870	AT4G25870.1	20.27	19.31	23.89	30.03	26.68	25.00
AT4G25880	AT4G25880.1,AT4G25880.2,AT4G25880.3	17.10	18.88	17.58	23.46	22.92	20.21
AT4G25885	AT4G25885.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G25890	AT4G25890.1	160.31	174.74	158.13	294.44	216.81	247.07
AT4G25900	AT4G25900.1	49.62	52.55	61.49	62.04	51.67	63.22
AT4G25910	AT4G25910.1	6.31	11.43	4.36	6.20	6.69	5.79
AT4G25920	AT4G25920.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G25930	AT4G25930.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G25940	AT4G25940.1	7.02	6.92	7.75	2.07	2.62	3.30
AT4G25950	AT4G25950.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G25960	AT4G25960.1	0.94	0.40	1.19	1.39	0.42	0.66
AT4G25970	AT4G25970.1	38.04	27.25	34.77	28.05	31.64	26.45
AT4G25980	AT4G25980.1	0.62	0.35	0.98	0.85	1.06	1.08
AT4G25990	AT4G25990.1,AT4G25990.2	0.00	0.00	0.00	0.00	0.00	0.14
AT4G26000	AT4G26000.1	17.19	18.08	22.53	18.21	19.24	18.31
AT4G26005	AT4G26005.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26010	AT4G26010.1	104.47	100.03	128.72	80.52	94.15	108.38
AT4G26020	AT4G26020.1,AT4G26020.2	0.44	0.00	1.39	0.71	0.48	0.56
AT4G26030	AT4G26030.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G26040	AT4G26040.1	0.00	0.00	0.00	1.94	3.02	0.00
AT4G26050	AT4G26050.1	5.18	11.52	14.90	5.54	5.22	4.69
AT4G26055	AT4G26055.1	37.19	0.00	0.00	6.38	2.63	23.86
AT4G26060	AT4G26060.1	69.80	74.36	79.61	73.77	56.51	85.07
AT4G26070	AT4G26070.1,AT4G26070.2,AT4G26070.3	5.43	6.61	6.57	8.43	8.67	7.80
AT4G26080	AT4G26080.1	51.60	69.08	56.26	35.54	47.02	40.38
AT4G26090	AT4G26090.1	4.25	2.49	5.64	2.79	5.01	3.82
