,Geneid,gene_name,SRR3655795Aligned.sortedByCoord.out.bam,SRR3655801Aligned.sortedByCoord.out.bam,SRR3655791Aligned.sortedByCoord.out.bam,SRR3655798Aligned.sortedByCoord.out.bam,SRR3655797Aligned.sortedByCoord.out.bam,SRR3655799Aligned.sortedByCoord.out.bam,SRR3655793Aligned.sortedByCoord.out.bam,SRR3655800Aligned.sortedByCoord.out.bam,SRR3655802Aligned.sortedByCoord.out.bam,SRR3655792Aligned.sortedByCoord.out.bam,SRR3655794Aligned.sortedByCoord.out.bam,SRR3655796Aligned.sortedByCoord.out.bam
20393,ppm1e,,11,14,16,29,29,22,17,49,34,27,41,13
20394,trim37,,28,53,26,34,34,45,20,117,117,80,65,82
20395,rabgef1,,391,708,353,530,530,604,353,1562,1697,897,822,900
20396,kctd7,,50,42,92,28,28,74,54,223,129,198,133,149
20397,LOC100333185,,48,47,68,57,57,54,38,150,152,176,96,155
20398,cux1a,,103,156,171,404,404,164,117,438,369,458,341,273
20399,myl10,,1,28,0,3,3,1,0,1,59,1,1,7
20400,LOC101885935,,5,4,21,90,90,17,10,42,19,51,32,12
20401,bcl7ba,,126,544,136,639,639,594,139,1459,1290,309,377,377
20402,tbl2,,480,462,368,395,395,435,360,1108,1107,903,981,1081
20403,prdm15,,27,18,34,24,24,19,36,76,38,101,96,79
20404,c2cd2,,250,276,240,554,554,475,245,1194,639,641,514,517
20405,ska2,,226,353,160,230,230,195,297,598,804,395,782,532
20408,mir130a-1,,0,0,0,0,0,0,0,0,2,1,0,0
20409,mdh2,,27510,15257,24842,6343,6343,13122,18845,32978,38136,62293,47938,66759
20410,zgc:153345,,9,4,29,3,3,4,21,18,20,46,52,36
20411,ryr1a,,118,12,281,0,0,26,37,61,18,758,124,256
20412,il2rga,,2,13,10,59,59,9,13,31,25,25,35,14
20413,si:dkey-18a10.3,,0,0,24,0,0,0,24,1,0,55,43,0
20414,c10h21orf59,,0,0,0,0,0,0,0,0,0,0,0,0
20415,eva1c,,1,1,1,1,1,0,1,4,0,0,0,4
20416,mis18a,,0,0,0,0,0,0,0,0,0,0,0,0
20417,hunk,,0,0,0,0,0,0,0,0,0,0,0,0
20419,LOC101886689,,0,0,0,0,0,0,0,0,0,0,0,0
20420,rxfp2a,,25,16,10,48,48,5,8,18,36,51,22,96
20421,fryb,,8,7,6,9,9,2,3,19,15,18,10,8
20422,LOC103911764,,0,0,0,0,0,0,0,0,0,0,0,0
20425,kl,,0,14,4,12,12,8,2,28,25,13,7,5
20426,rfc3,,1,0,0,0,0,0,0,0,0,0,0,0
20427,LOC793110,,0,0,0,0,0,0,0,0,0,0,0,0
20429,LOC110437828,,0,0,0,0,0,0,0,0,0,0,0,0
20438,LOC100333082,,0,0,0,0,0,0,0,0,0,0,0,0
20443,LOC110440074,,0,0,0,0,0,0,0,0,0,0,0,0
20444,LOC793521,,0,0,0,1,1,0,0,0,0,0,0,0
20446,LOC101882493,,3,3,3,0,0,2,6,3,3,2,11,9
20447,LOC110437759,,0,0,0,0,0,0,0,0,0,0,0,0
20451,stard13a,,44,35,26,129,129,54,19,121,99,75,56,99
20452,nbeaa,,65,47,70,20,20,26,15,69,97,190,77,187
20453,dclk1a,,57,54,28,255,255,69,39,169,154,62,66,84
20454,ccdc169,,1,5,0,0,0,2,1,6,8,0,2,0
20459,rfxap,,126,118,136,121,121,102,89,251,270,346,233,312
20460,smad9,,81,228,77,162,162,148,62,372,537,202,161,196
20461,alg5,,209,641,220,529,529,585,262,1558,1582,574,617,505
20462,exosc8,,100,123,106,105,105,91,83,218,343,270,224,258
20463,supt20,,126,152,140,131,131,109,127,372,359,314,339,335
20464,zgc:110006,,26,22,17,43,43,26,27,60,48,44,47,53
20465,ripk4,,268,390,422,249,249,558,333,1336,947,1118,878,617
20466,nsun5,,130,102,83,174,174,162,84,405,270,231,185,356
20467,pom121,,242,395,171,420,420,304,130,855,1006,392,385,567
20468,ypel2a,,19,37,27,22,22,64,22,155,118,54,62,52
20469,smg8,,139,223,153,176,176,214,137,529,567,444,327,348
20470,prr11,,2,67,4,92,92,27,9,74,151,1,29,8
20472,tmem120a,,35,26,28,530,530,52,30,114,66,85,93,76
20473,pora,,324,460,236,1837,1837,442,317,1040,1340,621,827,749
20474,rhbdd2,,53,52,66,61,61,101,83,238,129,165,237,147
20475,LOC101883602,,0,15,3,54,54,24,2,64,39,3,5,3
20476,gabrr3a,,1,1,0,13,13,1,0,7,3,1,0,1
20477,hhla2a.1,,36,56,18,466,466,52,15,144,113,49,48,117
20478,hhla2a.2,,0,0,0,2,2,0,0,2,4,0,1,0
20479,phldb2a,,52,65,27,291,291,139,56,319,137,92,128,110
20481,zdhhc20a,,99,291,111,347,347,468,150,1086,732,303,382,269
20482,smg6,,276,501,336,514,514,462,351,1068,1199,740,794,698
20483,mir132-2,,0,1,0,9,9,1,0,3,1,1,0,1
20485,ovca2,,26,54,16,59,59,54,36,177,143,78,98,58
20486,LOC100004523,,5,3,1,7,7,3,2,15,4,2,0,4
20487,hmgb1a,,320,207,21,511,511,409,181,1197,541,68,526,781
20488,katnal1,,39,54,38,21,21,125,39,367,128,72,127,73
20489,smyd4,,17,74,14,77,77,50,18,115,184,32,39,39
20490,waif2,,0,0,0,0,0,0,0,0,0,0,0,0
20494,si:ch211-215a9.5,,0,0,0,0,0,0,0,0,0,0,0,0
20496,or109-11,,0,0,0,0,0,0,0,0,0,0,0,0
20521,ubl3a,,94,172,93,108,108,266,141,636,411,234,356,192
20522,uspl1,,110,46,32,48,48,49,26,146,104,60,98,259
20523,alox5ap,,0,5,0,26,26,9,1,13,5,0,4,5
20524,LOC101885611,,0,7,2,11,11,9,1,21,19,1,3,2
20525,nipblb,,232,221,171,337,337,262,148,656,593,423,420,516
20526,slc1a3b,,2,0,7,11,11,0,0,5,4,8,0,0
20527,rsf1b.1,,378,400,476,453,453,433,387,1020,946,1263,956,896
20528,LOC110440075,,0,0,5,9,9,0,0,0,0,10,2,0
20529,ucp3,,0,5,5,4,4,2,0,1,13,11,6,7
20530,ucp2,,615,2497,581,8597,8597,2119,519,5424,6299,1449,1480,1591
20532,mrpl48,,127,139,126,63,63,93,135,259,355,282,347,251
20533,rab6a,,519,726,580,650,650,521,600,1471,1774,1552,1545,1237
20535,si:ch211-176g13.7,,0,0,0,0,0,0,3,2,4,5,9,2
20536,si:ch211-176g13.8,,51,69,140,26,26,62,111,157,179,400,317,142
20537,dhrs13a.2,,2,2,2,4,4,1,5,3,9,7,17,8
20538,dhrs13a.1,,157,363,155,329,329,475,350,1238,862,366,783,420
20539,phf12a,,220,227,198,250,250,219,127,545,619,490,352,521
