task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
55	4f/09fe13	2712325	markDuplicates (SRX9432644_SRR12980999_1)	COMPLETED	0	2022-08-31 22:25:53.872	53m 5s	52m 52s	104.5%	5.8 GB	13.2 GB	14.4 GB	6.2 GB
71	5a/e567de	2712427	dupradar (SRX9432646_SRR12981001_1)	COMPLETED	0	2022-08-31 23:11:59.043	12m 5s	11m 57s	167.3%	497.2 MB	972.7 MB	49.6 GB	27.4 GB
72	ed/2ac3ec	2712432	dupradar (SRX9432644_SRR12980999_1)	COMPLETED	0	2022-08-31 23:18:59.252	12m 25s	12m 20s	168.5%	515.1 MB	909.1 MB	50.1 GB	26.7 GB
61	c2/e937f3	2712358	markDuplicates (SRX9432641_SRR12980996_1)	COMPLETED	0	2022-08-31 22:40:59.145	54m 45s	54m 36s	100.3%	5.6 GB	13.1 GB	14.7 GB	6.4 GB
39	86/5981da	2712198	rseqc (SRX9432643_SRR12980998_1)	COMPLETED	0	2022-08-31 22:12:08.333	1h 35m 26s	1h 35m 19s	87.0%	5.2 GB	5.5 GB	18 GB	78.3 MB
73	eb/780dc1	2712468	dupradar (SRX9432641_SRR12980996_1)	COMPLETED	0	2022-08-31 23:35:44.391	14m 35s	14m 29s	161.1%	525.2 MB	972.7 MB	60.6 GB	35.1 GB
42	50/0038d2	2712204	rseqc (SRX9432642_SRR12980997_1)	COMPLETED	0	2022-08-31 22:16:28.372	1h 35m 6s	1h 35m 1s	88.9%	5.4 GB	5.7 GB	18.5 GB	78.7 MB
50	04/9ca492	2712213	rseqc (SRX9432646_SRR12981001_1)	COMPLETED	0	2022-08-31 22:17:03.453	1h 40m 31s	1h 40m 27s	86.1%	5.4 GB	5.7 GB	18.9 GB	78.6 MB
57	e0/6261fb	2712326	rseqc (SRX9432644_SRR12980999_1)	COMPLETED	0	2022-08-31 22:25:53.907	1h 42m 46s	1h 42m 41s	90.1%	7.4 GB	7.7 GB	20.5 GB	82 MB
66	f4/61ee87	2712360	rseqc (SRX9432641_SRR12980996_1)	COMPLETED	0	2022-08-31 22:40:59.188	1h 45m 25s	1h 45m 20s	92.0%	5.7 GB	6 GB	20.9 GB	79.4 MB
74	87/5bb1cc	2712636	multiqc	FAILED	140	2022-09-01 00:26:25.128	4h 16s	4h 12s	-	-	-	-	-
