,Geneid,gene_name,SRR950087,SRR950082,SRR950086,SRR950080,SRR950085,SRR950078,SRR950079,SRR950083,SRR950081,SRR950084
5946,ENSG00000225355,ARL6IP1P2,0,1,2,1,5,2,0,2,4,4
5947,ENSG00000148513,ANKRD30A,1,13,8,17,0,16,2,0,3,11
5949,ENSG00000234918,RP11-20F24.2,0,1,6,6,0,10,0,2,0,11
5950,ENSG00000240800,ATP8A2P1,0,7,11,12,0,24,0,0,0,24
5952,ENSG00000252621,Y_RNA,0,0,0,0,0,0,0,0,0,1
5953,ENSG00000235687,LINC00993,0,5,7,8,0,13,0,1,0,15
5954,ENSG00000237970,TMEM161BP1,1,1,1,1,0,0,0,0,0,2
5955,ENSG00000236313,VN1R53P,0,1,3,0,1,0,0,0,0,0
5959,ENSG00000226578,RP11-258F22.1,27,5,16,16,56,21,75,72,64,32
5960,ENSG00000260137,RP11-258F22.2,0,1,0,0,2,3,2,3,9,2
5961,ENSG00000225192,ZNF33BP1,4,2,3,11,9,19,17,12,16,13
5962,ENSG00000198105,ZNF248,2467,947,1188,1305,3322,1734,3873,4193,3977,1938
5963,ENSG00000228828,RP11-162G10.1,14,12,3,4,27,24,31,44,37,19
5965,ENSG00000236514,RP11-162G10.5,17,6,14,15,23,12,27,36,22,18
5966,ENSG00000151963,RP11-775A3.1,3,2,1,2,6,6,2,11,12,3
5967,ENSG00000235197,ZNF33AP1,5,0,0,0,11,0,20,7,6,0
5968,ENSG00000175395,ZNF25,4353,336,384,412,5796,482,6814,7310,7126,648
5969,ENSG00000266684,AL117337.1,3,0,1,0,3,0,5,9,4,0
5972,ENSG00000189180,ZNF33A,2301,1803,2306,2588,3109,3166,3655,3878,3732,3517
5973,ENSG00000252132,RNU6-795P,3,1,1,1,7,3,7,4,5,5
5974,ENSG00000226086,EIF3LP3,7,6,3,2,11,0,8,6,15,9
5975,ENSG00000235964,FXYD6P2,0,2,3,5,1,5,3,4,3,5
5976,ENSG00000075407,ZNF37A,1728,1381,1748,1826,2542,2261,2909,3172,2980,2564
5977,ENSG00000272983,RP11-508N22.12,142,74,64,84,229,131,255,295,275,149
