	gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
13512	AT3G22790	NET1A	12.790852	11.901591	9.636989	15.723039	14.596627	10.072257
13513	AT3G22800	LRX6	61.268898	46.616966	61.304985	54.745609	88.960304	64.140732
13514	AT3G22810	AT3G22810	9.627045	10.900842	8.546181	11.113312	12.803036	10.337893
13515	AT3G22820	EPFL5	0.0	0.0	0.0	0.0	0.0	0.0
13516	AT3G22830	HSFA6B	0.697122	0.0	0.590571	2.444374	15.177344	3.616106
13517	AT3G22840	ELIP1	0.0	0.0	0.0	30.169632	18.075186	29.985674
13518	AT3G22845	AT3G22845	150.618973	149.599533	157.875839	235.618866	190.646286	214.324188
13519	AT3G22850	AT3G22850	108.206139	98.66375	141.568512	171.611633	164.912689	167.987137
13520	AT3G22860	TIF3C2	0.0	0.0	0.0	0.0	0.274964	0.0
13521	AT3G22870	AT3G22870	0.0	0.0	0.0	0.0	0.0	0.0
13522	AT3G22880	DMC1	3.18975	1.779255	3.131185	4.133624	2.821988	5.295837
13523	AT3G22886	MIR167A	0.0	0.0	0.0	0.949312	0.068725	0.007341
13524	AT3G22890	APS1	221.838181	255.498428	201.409119	305.131439	193.969208	241.446625
13525	AT3G22900	NRPD7	1.561828	1.040826	1.039967	4.275563	2.591587	3.544219
13526	AT3G22910	ACA13	1.005502	0.619297	0.52994	0.956258	1.041643	1.276646
13527	AT3G22920	CYP26-1	0.0	0.284516	0.0	0.0	0.0	0.0
13528	AT3G22930	CML11	19.340628	32.483982	24.948002	39.050018	33.32373	44.033916
13529	AT3G22937	AT3G22937	0.0	0.0	0.0	0.0	0.0	0.0
13530	AT3G22940	AT3G22940	1.80449	1.711655	2.994683	3.111507	0.545985	2.406293
13531	AT3G22942	GG2	8.208989	11.724899	12.539042	22.368366	15.227192	16.768961
13532	AT3G22945	AT3G22945	0.006661	0.00222	0.00255	0.060555	0.028382	0.004526
13533	AT3G22950	ARFC1	56.101112	67.619186	71.632408	71.695267	71.73317	83.31881
13534	AT3G22955	AT3G22955	0.0	0.0	0.0	0.0	0.0	0.0
13535	AT3G22960	PKP1	133.100342	111.133133	109.024437	99.812996	92.443024	93.484863
13536	AT3G22961	AT3G22961	4.951301	3.30981	4.705628	0.38637	0.919387	0.592466
13537	AT3G22968	CPuORF59	115.53965	73.311333	126.553833	56.752411	77.086006	76.276695
13538	AT3G22970	AT3G22970	1.597921	25.378519	1.672113	0.957219	3.305755	1.476467
13539	AT3G22980	AT3G22980	14.717021	11.776363	11.227032	12.50992	12.116961	10.65
13540	AT3G22990	LFR	15.289951	19.389175	20.746637	17.751183	21.281763	17.66116
13541	AT3G23000	CIPK7	70.10009	62.205341	63.597095	72.630753	86.828979	82.027313
13542	AT3G23010	AtRLP36	0.049488	0.046042	0.166916	0.0	0.07307	0.0
13543	AT3G23020	AT3G23020	0.796541	0.979068	1.490339	0.965898	2.073313	1.597094
13544	AT3G23030	IAA2	108.329391	125.37867	118.20845	74.627365	96.899559	86.338081
13545	AT3G23040	AT3G23040	0.0	0.0	0.0	0.0	0.0	0.0
13546	AT3G23050	IAA7	34.935173	40.122025	34.262642	38.006649	39.294529	40.724167
13547	AT3G23060	AT3G23060	0.309347	0.0	0.641593	0.0	0.168659	0.292151
