gene_id	transcript_id(s)	flight1	flight2	flight3	ground1	ground2	ground3
AT2G13330	AT2G13330.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13335	AT2G13335.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13350	AT2G13350.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13360	AT2G13360.1,AT2G13360.2	8474.00	5153.00	8956.00	447.00	1512.00	1462.00
AT2G13363	AT2G13363.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13370	AT2G13370.1	4725.00	3450.00	3270.00	3627.00	2932.00	3242.00
AT2G13380	AT2G13380.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13390	AT2G13390.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13400	AT2G13400.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13410	AT2G13410.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13420	AT2G13420.1	112.00	195.00	120.00	166.00	101.00	118.00
AT2G13422	AT2G13422.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13430	AT2G13430.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13431	AT2G13431.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13440	AT2G13440.1	964.00	901.00	724.00	893.00	588.00	810.00
AT2G13450	AT2G13450.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13460	AT2G13460.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13463	AT2G13463.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13469	AT2G13469.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13470	AT2G13470.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13480	AT2G13480.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13490	AT2G13490.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13500	AT2G13500.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13510	AT2G13510.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13520	AT2G13520.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13530	AT2G13530.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13540	AT2G13540.1	2699.00	2127.00	2316.00	2821.00	1712.00	1786.00
AT2G13542	AT2G13542.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13547	AT2G13547.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13550	AT2G13550.1	161.00	255.00	145.00	312.00	173.00	296.00
AT2G13560	AT2G13560.1	9434.00	8444.00	8588.00	7843.00	5254.00	6754.00
AT2G13570	AT2G13570.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13580	AT2G13580.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13590	AT2G13590.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13600	AT2G13600.1	221.00	165.00	57.00	322.00	207.00	244.00
AT2G13610	AT2G13610.1	59.00	2.00	10.00	37.00	25.00	45.00
AT2G13620	AT2G13620.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13623	AT2G13623.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13630	AT2G13630.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13640	AT2G13640.1	6.00	0.00	0.00	2.00	0.00	0.00
AT2G13650	AT2G13650.1,AT2G13650.2,AT2G13650.3	777.00	760.00	915.00	887.00	553.00	849.00
AT2G13660	AT2G13660.1	83.91	0.00	15.30	0.00	83.42	0.00
AT2G13665	AT2G13665.1,AT2G13665.2	59.09	98.00	102.70	25.00	17.58	66.00
AT2G13680	AT2G13680.1	50.00	32.00	15.00	58.00	37.00	43.00
AT2G13690	AT2G13690.1	372.00	366.00	286.00	579.00	347.00	394.00
AT2G13700	AT2G13700.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13705	AT2G13705.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13706	AT2G13706.1	0.00	0.00	0.00	3.00	0.00	0.00
AT2G13710	AT2G13710.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13720	AT2G13720.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13730	AT2G13730.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G13740	AT2G13740.1	0.00	0.00	0.00	0.00	0.00	0.00
