gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_sham_vs_sbs	lfcSE_condition_stage_sham_vs_sbs	stat_condition_stage_sham_vs_sbs	pvalue_condition_stage_sham_vs_sbs	padj_condition_stage_sham_vs_sbs	contrast_vector	outcome
NA	cbln10	247.508815219215	-8.29111914771914	0.614259923089954	-13.4977374171047	1.61252656360939e-41	3.0451481113534e-39	1	DE
NA	cbln11	513.774871872298	-10.5869100495201	1.28957822538261	-8.20959119899768	2.21942835293336e-16	8.0462227035786e-15	1	DE
NA	cbln13	3.02876581539133	-4.92523261379729	1.18272749899289	-4.1643004140778	3.12308683639289e-05	0.000193747762674484	1	DE
NA	cbln13_1	0.664600971371965	-0.555921324017688	2.12402107804226	-0.261730606049394	0.793529142605187	NA	0	not_DE
NA	cbln14	0.668067475311837	-2.76553767365151	3.0437588817373	-0.908592888301657	0.363565061903188	NA	0	not_DE
NA	cbln14_1	0.0797804534539647	-0.589079174907601	3.10844309435617	-0.189509396513374	0.849693591184479	NA	0	not_DE
NA	cbln17	0.671489590184293	-2.6958567850884	1.45443245989892	-1.85354553024466	0.0638042065524976	NA	0	not_DE
NA	cbln17_1	9.37000053145076	-4.61629174244096	0.873316233253764	-5.28593373930744	1.25065160904088e-07	1.31318418949292e-06	1	DE
NA	cbln18	121.514731998665	5.22177776050611	1.00116537957737	5.2156994908378	1.83124854474883e-07	1.85656027343226e-06	1	DE
NA	cbln20	3.71903983849398	0.0948655697937385	0.696474171233404	0.136208309958916	0.891656605997924	0.934030318945957	0	not_DE
NA	cbln2a	0.147404081204339	0.772480926352674	3.11653965008542	0.247864944163794	0.804238904149664	NA	0	not_DE
NA	cbln4	11.5222445528518	-0.987976212052926	0.470159132349631	-2.10136556768661	0.0356088880845181	0.0837048688322092	0	not_DE
NA	cbln6	41.1542629184291	-0.44640338676027	2.88871623150361	-0.15453348511422	0.877189111010041	0.924886268921212	0	not_DE
NA	cbln8	1055.4742852503	-9.01849628752417	0.793871900874822	-11.3601404427919	6.60383883440669e-30	7.23420526860006e-28	1	DE
NA	cbln9_1	0.14575455760534	-0.678964494702676	3.10659287496958	-0.218555994309143	0.826995935451725	NA	0	not_DE
NA	cbr1	531.307374654502	1.04628968112593	0.352874266136769	2.96504954181161	0.00302634189081398	0.0106659584327365	1	DE
NA	cbr1l	2845.04442697425	0.866683622607222	0.353162903694134	2.45406188912139	0.0141252668627033	0.0389877702836722	1	DE
NA	cbr4	91.94524257223	-0.540384869501004	0.208120011110979	-2.59650605732884	0.00941772451448877	0.0278829435871228	1	DE
NA	cbsa	139.550151462925	2.85194246286866	0.311663964130908	9.1506968757888	5.6567446560465e-20	2.86287847042513e-18	1	DE
NA	cbsa_1	97.0438981327973	2.64587571765137	0.446661633897781	5.92366909725872	3.14836667128361e-09	4.41626489006827e-08	1	DE
NA	cbsb	2090.44772176854	1.44915083551121	0.223751691945461	6.47660280425693	9.38107087578806e-11	1.71399276903839e-09	1	DE
NA	cbwd	2.58201043633635	-0.42048009092839	1.22719318784408	-0.342635613604639	0.731872606329958	0.822436940878012	0	not_DE
NA	cbx1a	1.27799535126751	1.52459846637376	1.28108223401427	1.19008633941979	0.234012458857807	0.364441367051925	0	not_DE
NA	cbx1a_1	6.04144090569347	0.499872646756012	0.50494471096015	0.989955208770296	0.322196012595758	0.46240756004626	0	not_DE
NA	cbx1b	50.0975259599013	0.232845677750419	0.290903344924897	0.800422827075203	0.423465859738968	0.564167820400894	0	not_DE
NA	cbx1b_1	0.994843814828239	3.54748231629726	2.38706992281391	1.48612417357069	0.137246279308794	0.242409010851813	0	not_DE
NA	cbx2	83.7686898653696	-0.184431263322235	0.395487921135153	-0.466338549083544	0.640973189843073	0.752566764754551	0	not_DE
NA	cbx3a	756.460034159441	-0.526090317989914	0.137485760674519	-3.8265076718408	0.000129974100588691	0.000691546386752907	1	DE
NA	cbx3b	445.263345946691	0.697531483466159	0.197663003007065	3.52889247281761	0.0004173026515254	0.00190997502913655	1	DE
NA	cbx4	61.218401722459	-2.36664307267828	0.4099388968088	-5.77316056393183	7.77982414314627e-09	1.01688248937147e-07	1	DE
NA	cbx5	703.692087351041	-0.0436179322381797	0.140572284656453	-0.310288278694325	0.756341743840068	0.839513458543422	0	not_DE
NA	cbx6a	2.42127488964691	1.34618187964779	0.785255249932783	1.71432394722993	0.086469247441719	0.169581155840516	0	not_DE
NA	cbx6a_1	0.497063409354253	-1.19561764895798	1.71138400457527	-0.698626167921151	0.48478568579599	NA	0	not_DE
NA	cbx7a	642.127973294337	-0.669448916702514	0.35152306935129	-1.9044238488755	0.0568550056428894	0.121894087756784	0	not_DE
NA	cbx7b_2	7.514323646543	0.77732092029277	0.512929334663756	1.51545421125569	0.129657417645303	0.232314731538227	0	not_DE
NA	cbx8a	283.739439459811	-0.188450973214534	0.123126721331625	-1.53054488234903	0.125881912819555	0.227077402616113	0	not_DE
NA	cbx8b_1	18.8700587067489	0.0118040509528688	0.354229328260494	0.0333231892763783	0.973416861658312	0.984426252268548	0	not_DE
NA	cby1	0.558119604724451	-0.514592888104532	1.3691683021396	-0.375843413333756	0.707033310823774	NA	0	not_DE
NA	cby1_1	0.834308320296008	-1.74408942093261	1.33388707247844	-1.30752404526418	0.191034794027026	0.312646194726031	0	not_DE
NA	cc2d1a	274.150002731829	0.27602437772155	0.118678060389925	2.32582481390961	0.0200278983148945	0.0521673666349362	0	not_DE
