task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
58	b5/45ebfe	1559084	preseq (SRR950080_1)	COMPLETED	0	2021-09-28 17:15:50.634	32m 20s	32m 15s	89.6%	16.7 MB	172.1 MB	10.2 GB	490.3 KB
75	f4/e8e42e	1559572	stringtieFPKM (SRR950078_1)	COMPLETED	0	2021-09-28 17:34:41.075	15m 40s	14m 12s	102.2%	1.2 GB	1.3 GB	12.2 GB	617.6 MB
79	af/5d1149	1559806	hisat2_sortOutput (SRR950083_1)	COMPLETED	0	2021-09-28 17:39:30.971	11m 40s	11m 21s	328.6%	24.8 GB	26.2 GB	43.4 GB	24.6 GB
65	33/24048e	1559105	preseq (SRR950085_1)	COMPLETED	0	2021-09-28 17:17:35.686	34m 10s	34m 5s	91.6%	19.3 MB	172.8 MB	10.5 GB	495.7 KB
82	1d/339be3	1560001	qualimap (SRR950079_1.sorted)	COMPLETED	0	2021-09-28 17:45:21.173	8m 35s	8m 28s	94.1%	10.2 GB	19.6 GB	12.9 GB	339.7 KB
80	ed/c7514a	1559984	hisat2_sortOutput (SRR950081_1)	COMPLETED	0	2021-09-28 17:41:36.151	13m 35s	12m 32s	308.1%	24.8 GB	26.2 GB	43.7 GB	24.8 GB
86	8b/2cbcec	1560002	stringtieFPKM (SRR950079_1)	COMPLETED	0	2021-09-28 17:45:21.195	13m 55s	13m 48s	106.0%	2 GB	2 GB	13.1 GB	622 MB
87	ac/2583e1	1560030	qualimap (SRR950083_1.sorted)	COMPLETED	0	2021-09-28 17:51:11.141	8m 20s	8m 16s	102.4%	11.2 GB	19.5 GB	13.3 GB	340.4 KB
70	c9/bbff05	1559115	hisat2Align (SRR950084)	COMPLETED	0	2021-09-28 17:18:30.761	43m 30s	43m 4s	879.8%	4.3 GB	5 GB	138.7 GB	98.2 GB
98	7b/fd5869	1560047	qualimap (SRR950081_1.sorted)	COMPLETED	0	2021-09-28 17:55:11.282	10m	9m 58s	82.7%	11.1 GB	19.6 GB	13.5 GB	340 KB
89	36/bf962d	1560028	stringtieFPKM (SRR950083_1)	COMPLETED	0	2021-09-28 17:51:11.056	14m 30s	14m 28s	103.7%	1.9 GB	2 GB	13.5 GB	621.4 MB
77	99/fa6ab1	1559570	preseq (SRR950078_1)	COMPLETED	0	2021-09-28 17:34:41.001	34m 10s	33m 43s	95.7%	17.2 MB	172.4 MB	11.2 GB	489.3 KB
94	63/35b9f4	1560049	stringtieFPKM (SRR950081_1)	COMPLETED	0	2021-09-28 17:55:11.375	15m 20s	15m 18s	104.8%	2 GB	2.1 GB	13.7 GB	621.8 MB
99	86/5ca8b0	1560078	hisat2_sortOutput (SRR950084_1)	COMPLETED	0	2021-09-28 18:02:01.424	13m 35s	13m 15s	317.6%	24.8 GB	26.2 GB	46.5 GB	25.6 GB
83	62/cbdeeb	1559998	preseq (SRR950079_1)	COMPLETED	0	2021-09-28 17:45:21.039	36m 15s	36m 11s	94.7%	17.3 MB	172.4 MB	12 GB	497.7 KB
50	22/062dc0	1558814	rseqc (SRR950086_1)	COMPLETED	0	2021-09-28 16:40:35.436	1h 42m 46s	1h 42m 44s	92.5%	19.6 GB	20 GB	42.1 GB	152.5 MB
104	cf/0b117b	1560135	qualimap (SRR950084_1.sorted)	COMPLETED	0	2021-09-28 18:15:36.429	9m 25s	9m 19s	102.1%	11.8 GB	19.5 GB	14.5 GB	340.1 KB
