task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
81	ca/77f525	687503	markDuplicates (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-10 09:55:49.319	2m 39s	2m 31s	106.7%	4.2 GB	11.4 GB	1.9 GB	657.4 MB
56	cd/426035	687480	rseqc (SRX1836012_SRR3655801)	COMPLETED	0	2023-01-10 09:54:28.666	4m 4s	3m 58s	98.9%	1.8 GB	2 GB	4 GB	43 MB
90	ba/21ab3b	687512	dupradar (SRX1836007_SRR3655791)	COMPLETED	0	2023-01-10 09:57:33.224	1m 5s	57.5s	168.0%	231.5 MB	729.2 MB	4.9 GB	105.2 MB
44	92/802987	687465	rseqc (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-10 09:54:23.231	4m 20s	4m 12s	98.5%	1.8 GB	2 GB	4 GB	45.6 MB
92	23/caa409	687513	dupradar (SRX1836010_SRR3655798)	COMPLETED	0	2023-01-10 09:57:43.292	59.8s	52.9s	170.1%	238.8 MB	705.8 MB	4.8 GB	105.8 MB
91	22/63fa69	687514	dupradar (SRX1836009_SRR3655795)	COMPLETED	0	2023-01-10 09:57:43.354	59.7s	56s	172.5%	238.2 MB	729.2 MB	5 GB	105.3 MB
61	13/6faf27	687488	rseqc (SRX1836007_SRR3655791)	COMPLETED	0	2023-01-10 09:54:49.285	4m 14s	4m 7s	100.3%	1.7 GB	1.9 GB	4 GB	38.9 MB
77	96/f0d5e1	687498	rseqc (SRX1836010_SRR3655798)	COMPLETED	0	2023-01-10 09:55:09.094	4m 9s	4m	99.3%	1.9 GB	2.1 GB	4 GB	45.6 MB
72	18/c994e4	687494	rseqc (SRX1836009_SRR3655795)	COMPLETED	0	2023-01-10 09:54:49.759	4m 38s	4m 34s	99.1%	1.7 GB	1.9 GB	4.1 GB	39.3 MB
97	ad/f29be9	687519	dupradar (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-10 09:58:28.270	59.8s	54.3s	171.2%	240.1 MB	729.2 MB	4.9 GB	105.7 MB
85	cb/7f2c3e	687506	rseqc (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-10 09:55:49.772	4m 8s	4m 4s	99.3%	1.8 GB	1.9 GB	4 GB	44.7 MB
89	d6/3d77be	687511	hisat2Align (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-10 09:57:23.244	4m 50s	4m 44s	862.9%	2.9 GB	4.6 GB	25.5 GB	17.9 GB
94	3f/bbe968	687516	hisat2Align (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-10 09:57:53.344	5m	4m 54s	811.0%	2.9 GB	4.6 GB	26.5 GB	18.7 GB
93	d4/70234f	687515	hisat2Align (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-10 09:57:48.232	5m 10s	5m 2s	895.6%	2.9 GB	4.7 GB	27.9 GB	19.9 GB
95	6d/fe7986	687517	hisat2Align (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-10 09:58:08.265	5m	4m 54s	902.7%	2.9 GB	4.6 GB	27.4 GB	19.4 GB
98	10/cef572	687520	hisat2_sortOutput (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-10 10:02:13.294	1m 5s	56.2s	278.5%	11.1 GB	24.2 GB	3.4 GB	1 GB
99	3d/9e02e2	687521	hisat2_sortOutput (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-10 10:02:53.210	54.9s	52.1s	285.6%	11.8 GB	24.6 GB	3.5 GB	1.1 GB
103	0c/519b57	687529	featureCounts (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-10 10:03:20.796	32.3s	27.5s	98.8%	136.2 MB	335.6 MB	1.6 GB	24.7 MB
100	8f/71de11	687522	hisat2_sortOutput (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-10 10:02:58.174	59.9s	53.4s	282.8%	12 GB	24.7 GB	3.6 GB	1.1 GB
101	60/2ac376	687523	hisat2_sortOutput (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-10 10:03:08.291	59.8s	51.1s	293.7%	12.6 GB	24.7 GB	3.6 GB	1.1 GB
109	84/1fa231	687535	featureCounts (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-10 10:03:49.094	34s	28.5s	97.6%	136.2 MB	335.6 MB	1.6 GB	24.7 MB
106	af/f523ad	687526	stringtieFPKM (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-10 10:03:20.118	1m 13s	1m 7s	111.2%	366 MB	461.1 MB	1.7 GB	344 MB
118	b9/1fb396	687537	featureCounts (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-10 10:03:58.326	34.8s	28.9s	98.6%	137.8 MB	335.6 MB	1.6 GB	24.7 MB
96	4a/8cd6b1	687518	hisat2Align (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-10 09:58:18.170	6m 20s	6m 16s	840.8%	2.9 GB	4.6 GB	28 GB	19.9 GB
