gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_sham_vs_sbs	lfcSE_condition_stage_sham_vs_sbs	stat_condition_stage_sham_vs_sbs	pvalue_condition_stage_sham_vs_sbs	padj_condition_stage_sham_vs_sbs	contrast_vector	outcome
myhz2	myhz2	1.18419112638698	-0.261909050999728	1.79661887629145	-0.145778859643486	0.884095965160944	0.926750362416257	0	not_DE
myl1	myl1	1.61241846554485	-3.45302404000623	2.14676548361532	-1.60847752880351	0.107730633823798	0.195983809150986	0	not_DE
myl10	myl10	6.37053331228551	-2.95866336406234	1.21444849591766	-2.43621971125809	0.0148416666650908	0.0387517898382068	1	DE
NA	myl12	6793.39548161599	-0.286740257681505	0.108671035575247	-2.6386079433554	0.00832471931747546	0.0237492699370412	1	DE
myl13	myl13	2.67871841417111	3.08753915073532	1.85570317238132	1.66381089211227	0.0961502266162187	0.179229798574818	0	not_DE
myl2a	myl2a	0.891198570531988	-2.50922849292651	1.72159537652634	-1.45750187711899	0.14497789358493	0.247651341889339	0	not_DE
myl2b	myl2b	0.302016625392415	-0.710017780024601	2.31489654584717	-0.306716851471546	0.759058902022679	NA	0	not_DE
myl4	myl4	14.7118530370718	-4.59144122940125	0.605684333901607	-7.58058442724577	3.44001822192647e-14	8.44109529650731e-13	1	DE
myl6	myl6	2439.23581386908	0.832793155511674	0.322914035023928	2.57899337032521	0.00990886883566239	0.027570176084225	1	DE
myl7	myl7	0.881148210410897	-0.127096189677927	2.27467893494797	-0.0558743424072877	0.955441910683026	0.971619520136236	0	not_DE
myl9a	myl9a	4067.78369624601	0.225452901313433	0.35231083453274	0.639926108467384	0.522220639219364	0.648661395721314	0	not_DE
myl9b	myl9b	1431.50599298507	-0.327486624453376	0.194839084398423	-1.68080560152759	0.0928006802747741	0.174576564988528	0	not_DE
mylipa	mylipa	997.483514402154	1.88285010979441	0.402250715128287	4.68078747652178	2.85775070897681e-06	2.05844550639463e-05	1	DE
mylipb	mylipb	316.470214580378	4.14494648350568	0.446990208768443	9.27301404414635	1.80958594167251e-20	8.18043107144964e-19	1	DE
mylk2	mylk2	3.58275302698639	0.0257850828714149	0.80432584291465	0.0320580062154624	0.974425792368288	0.984692356882063	0	not_DE
mylk3	mylk3	0.551025603286637	-0.11534277219658	1.82174924086711	-0.0633142968357599	0.949516231376546	NA	0	not_DE
mylk4a	mylk4a	7.33372565966079	1.25179272329584	0.629075265337837	1.98989340746625	0.0466026787453609	0.10008961867618	0	not_DE
mylk4b	mylk4b	12.5177668896887	0.900351263107843	0.415645186196705	2.16615347177809	0.0302994612607006	0.0702485211673872	0	not_DE
mylk5	mylk5	1544.12671219935	-0.0311503699303042	0.389717687892944	-0.0799306033521918	0.936292449736599	0.960119396910676	0	not_DE
mylka	mylka	368.974070151432	0.241508939547422	0.194748753037115	1.24010519082192	0.214936489277435	0.336547047921992	0	not_DE
mylkb	mylkb	923.853877431923	0.598906134985059	0.441907833450472	1.35527385950306	0.175330320267978	0.287244744350181	0	not_DE
mylpfa	mylpfa	16.7562405528083	-6.8688918841872	1.61320954046115	-4.25790432792983	2.06352218865579e-05	0.000122707089129756	1	DE
mylpfb	mylpfb	0.496399040645512	-0.472030617850929	1.8142322004471	-0.260182030577233	0.794723364587269	NA	0	not_DE
mylz3	mylz3	39.424266955254	-0.139775389608628	0.464865925943622	-0.300678930865712	0.763659336478733	0.843955343641439	0	not_DE
mynn	mynn	269.134962984191	-0.337992649838908	0.212953088705134	-1.58716951181164	0.112474257878881	0.202944431687752	0	not_DE
myo10	myo10	309.171310515346	-1.41805536324142	0.279375343304141	-5.07580714343017	3.85854510059925e-07	3.28712597644769e-06	1	DE
myo10	myo10_1	151.184833218946	-0.856327634744221	0.261003327234105	-3.28090696704469	0.0010347386836691	0.00394941680264986	1	DE
myo10l1	myo10l1	14.2186617060475	-2.04276436207201	0.398894216180147	-5.12106789021343	3.03810235032955e-07	2.64080398990568e-06	1	DE
myo10l3	myo10l3	284.274770188567	-1.20257905971025	0.440454820026109	-2.7303119526288	0.00632744199894123	0.0187776146380344	1	DE
