gene_name	Ensembl_ID	baseMean	log2FoldChange_condition_stage_sham_vs_sbs	lfcSE_condition_stage_sham_vs_sbs	stat_condition_stage_sham_vs_sbs	pvalue_condition_stage_sham_vs_sbs	padj_condition_stage_sham_vs_sbs	contrast_vector	outcome
NA	nsmfb	32.3618209031581	0.0743446637664914	0.622723310226375	0.119386351121922	0.904969274181945	0.939322236950992	0	not_DE
NA	nsrp1	249.283452352253	-0.296440985546147	0.113953278739413	-2.60142567923864	0.00928371783880535	0.0268486507145371	1	DE
NA	nsun2	295.612099963317	-0.229050795175728	0.151549297385556	-1.51139463611633	0.130687935155378	0.231070745671557	0	not_DE
NA	nsun3	32.8550904980151	-0.408123538240024	0.216073202757245	-1.88882070072588	0.0589158580035891	0.123343877259729	0	not_DE
NA	nsun4	54.7559374341833	-0.000445462916216534	0.169900504321983	-0.00262190461408123	0.997908025185367	0.998712641845874	0	not_DE
NA	nsun5	177.758937747633	-0.00178153773320319	0.233431615867421	-0.00763194705474272	0.993910646390253	0.995880457977097	0	not_DE
NA	nsun6	29.0057918792793	-0.234715843649755	0.364564885853526	-0.643824605050028	0.519689176525931	0.648218114398917	0	not_DE
NA	nt5c1aa	0.12126480270895	1.27431158503102	3.10978545497552	0.409774758896045	0.681971183785935	NA	0	not_DE
NA	nt5c1ab	0.833787590318323	-1.33797575242655	1.25079708536829	-1.06969848912991	0.284755046638123	0.418475219218498	0	not_DE
NA	nt5c1ba	659.271090220542	0.960977080078354	0.390230750025318	2.46258676441056	0.0137938793763686	0.0373296672264344	1	DE
NA	nt5c1bb	96.3210736239892	-2.72889095648318	0.570267950028396	-4.78527849293879	1.70750406713183e-06	1.3575095717284e-05	1	DE
NA	nt5c2a	778.365859379135	-0.258686877460171	0.246257434899974	-1.0504733697289	0.293500528345052	0.42800144741535	0	not_DE
NA	nt5c2b	453.353967992705	-0.213100264305846	0.177957287629097	-1.19747983993775	0.231119580757824	0.358024348056126	0	not_DE
NA	nt5c2l1	110.392496703703	-1.18316099884637	0.239841224196357	-4.93310106638599	8.09342496121279e-07	6.88288419375641e-06	1	DE
NA	nt5c3a	824.639024896897	0.307984756648551	0.161465473839761	1.90743413637887	0.0564643924287895	0.119188172600409	0	not_DE
NA	nt5dc1	147.990142431274	0.294887697233724	0.224199948356552	1.31528887225592	0.188412836513478	0.306637385259887	0	not_DE
